"id","created_at","modified_at","status","name","more_infos","datagasto","total","description_on_invoice","opcoes_cartao","card_bank_id","segmento_id"
4408,2024-07-12 16:13:12.579 -0300,2024-07-12 16:13:12.579 -0300,true,Cart Fpay,,2024-07-12,,,D,8,5
4407,2024-07-12 16:12:48.048 -0300,2024-07-12 16:12:48.048 -0300,true,Cart Fpay,,2024-07-10,,,D,8,5
4406,2024-07-12 16:11:27.089 -0300,2024-07-12 16:11:27.089 -0300,true,Supermercado Nagai,,2024-07-12,,,C,8,1
4405,2024-07-12 16:11:03.134 -0300,2024-07-12 16:11:03.134 -0300,true,Auto Posto Lala Morumbi,,2024-07-11,,,C,8,4
4404,2024-07-12 16:10:14.064 -0300,2024-07-12 16:10:14.064 -0300,true,Supermercado Nagai,,2024-07-09,,,C,8,1
4403,2024-07-12 16:09:40.061 -0300,2024-07-12 16:09:40.061 -0300,true,Supermercado Nagai,,2024-07-08,,,C,8,1
4402,2024-07-12 16:09:10.926 -0300,2024-07-12 16:09:10.926 -0300,true,Casa de Carnes Pavani,,2024-07-08,,,C,8,7
4401,2024-07-08 16:34:03.941 -0300,2024-07-08 16:34:03.941 -0300,true,Posto Pit Stop,,2024-07-04,,,C,1,4
4400,2024-07-08 16:33:39.042 -0300,2024-07-08 16:33:39.042 -0300,true,Supermercado Nagai,,2024-07-04,,,C,1,1
4399,2024-07-08 16:33:15.676 -0300,2024-07-08 16:33:15.676 -0300,true,Cart Fpay,,2024-07-04,,,C,1,5
4398,2024-07-08 16:32:53.333 -0300,2024-07-08 16:32:53.333 -0300,true,Cart Fpay,,2024-07-04,,,C,1,5
4397,2024-07-08 16:30:47.324 -0300,2024-07-08 16:30:47.324 -0300,true,VM Center,Troca Óleo - Rádio,2024-07-03,,,C,1,2
4396,2024-07-08 06:44:44.101 -0300,2024-07-08 06:44:44.101 -0300,true,Maria Seiko - médica,,2024-07-04,,,C,6,14
4395,2024-07-08 06:43:51.169 -0300,2024-07-08 06:43:51.169 -0300,true,Farma Fórmulas,Antibióticos-Circulação,2024-07-05,,,C,6,9
4394,2024-07-08 05:05:02.798 -0300,2024-07-08 05:05:02.798 -0300,true,Drogasil,Jardiance Duo,2024-07-06,,,C,6,9
4393,2024-07-07 05:20:00.173 -0300,2024-07-07 05:20:00.173 -0300,true,Supermercado Nagai,,2024-07-06,,,C,8,1
4392,2024-07-07 05:19:33.412 -0300,2024-07-07 05:19:33.412 -0300,true,Fogos e Alegria,,2024-07-06,,,C,8,16
4391,2024-07-07 05:18:31.964 -0300,2024-07-07 05:18:31.964 -0300,true,TV Express,,2024-07-05,,,C,8,27
4390,2024-07-04 06:44:12.114 -0300,2024-07-04 06:44:12.114 -0300,true,Supermercado Avenida,,2024-07-03,,,C,8,1
4389,2024-07-04 06:43:20.245 -0300,2024-07-04 06:43:20.245 -0300,true,Serviços Claro,Recarga,2024-07-03,,,C,8,6
4388,2024-07-04 06:42:25.350 -0300,2024-07-04 06:44:29.208 -0300,true,Serviços Claro,Recarga,2024-07-03,,,C,8,6
4387,2024-07-04 06:41:08.651 -0300,2024-07-04 06:41:41.213 -0300,true,Lojas Americanas,Chip - Claro,2024-07-03,,,C,8,3
4386,2024-07-04 06:39:58.149 -0300,2024-07-04 06:39:58.149 -0300,true,Supermercado Nagai,,2024-07-02,,,C,8,1
4385,2024-07-02 05:46:10.228 -0300,2024-07-02 12:02:07.021 -0300,true,Liane,Kit Fixaçao Assento,2024-07-01,,,C,8,6
4384,2024-07-02 05:44:59.046 -0300,2024-07-02 05:44:59.046 -0300,true,Drogasil,PERIOGARD,2024-07-01,,,C,8,9
4383,2024-07-02 05:44:05.586 -0300,2024-07-02 05:44:05.586 -0300,true,Supermercado Nagai,,2024-07-01,,,C,8,1
4382,2024-06-30 11:13:20.594 -0300,2024-06-30 11:15:40.444 -0300,true,Jefersondelima,expresso,2024-06-29,,,C,8,19
4381,2024-06-30 11:12:20.741 -0300,2024-06-30 11:12:20.742 -0300,true,Auto Posto Lar dos Meninos,,2024-06-29,,,C,8,4
4380,2024-06-30 11:11:49.979 -0300,2024-06-30 11:11:49.979 -0300,true,SiqGrill,,2024-06-29,,,C,8,3
4379,2024-06-30 11:11:17.225 -0300,2024-06-30 11:11:17.225 -0300,true,Suco Bagaço,,2024-06-29,,,C,8,3
4378,2024-06-30 11:10:39.693 -0300,2024-06-30 11:10:39.693 -0300,true,Supermercado Nagai,,2024-06-30,,,C,8,1
4377,2024-06-27 15:17:23.197 -0300,2024-06-27 15:17:23.197 -0300,true,Supermercado Estrela,,2024-06-25,,,C,8,1
4376,2024-06-27 15:16:31.862 -0300,2024-06-27 15:16:31.862 -0300,true,Drogaria São Paulo,,2024-06-25,,,C,8,9
